booking_id,customer_id,driver_id,booking_time,pickup_location,drop_location,city,vehicle_type,payment_method,distance_km,trip_duration_min,base_fare,surge_multiplier,traffic_level,weather_condition,ride_status,cancelled_by,driver_delay_min
B00001,C0090,D0112,2026-03-03 01:15:00,Viman Nagar,Hinjewadi,Pune,Bike,Card,2.97,6.6,57.82,1.09,Medium,Clear,Completed,Unknown,8.0
B00002,C0118,D0072,2026-03-16 13:10:00,Janakpuri,Rohini,Delhi,Bike,Cash,6.41,13.8,78.46,1.34,Low,Rain,Completed,Unknown,6.8
B00003,C0195,D0023,2026-03-31 17:35:00,Baner,Wakad,Pune,Auto,Card,3.31,6.0,89.79,1.42,Low,Clear,Completed,Unknown,7.0
B00004,C0114,D0022,2026-03-22 05:01:00,Rohini,Karol Bagh,Delhi,Auto,UPI,2.19,5.0,79.71,1.14,Low,Clear,Completed,Unknown,2.9
B00005,C0290,D0003,2026-01-23 15:02:00,Rohini,Saket,Delhi,Auto,Cash,2.38,6.9,81.42,1.12,Medium,Clear,Incomplete,Unknown,5.1
B00006,C0302,D0079,2026-02-03 08:52:00,Marathahalli,HSR Layout,Bengaluru,Bike,UPI,2.13,3.7,52.78,1.44,Low,Cloudy,Cancelled,Customer,1.5
B00007,C0359,D0126,2026-01-22 05:21:00,Gachibowli,Kukatpally,Hyderabad,Auto,Cash,3.99,6.5,95.91,1.05,Low,Clear,Incomplete,Unknown,13.1
B00008,C0174,D0056,2026-01-22 07:17:00,Colaba,Chembur,Mumbai,Bike,UPI,1.41,4.3,48.46,1.62,Medium,Rain,Completed,Unknown,4.5
B00009,C0161,D0062,2026-02-24 15:53:00,Pitampura,Janakpuri,Delhi,Auto,UPI,4.03,6.6,96.27,1.12,Low,Cloudy,Completed,Unknown,12.7
B00010,C0189,D0097,2026-01-15 08:39:00,Secunderabad,Gachibowli,Hyderabad,Cab,Wallet,3.5,12.6,139.0,1.71,High,Clear,Completed,Unknown,8.6
B00011,C0199,D0128,2026-03-20 18:42:00,Powai,Malad,Mumbai,Cab,UPI,4.05,12.6,146.7,1.78,High,Clear,Completed,Unknown,8.0
B00012,C0152,D0062,2026-02-14 05:51:00,HSR Layout,MG Road,Bengaluru,Cab,Cash,1.3,2.6,108.2,1.02,Low,Cloudy,Cancelled,Driver,10.6
B00013,C0158,D0120,2026-03-29 02:35:00,Banjara Hills,Ameerpet,Hyderabad,Bike,Cash,9.11,16.4,94.66,1.01,Low,Cloudy,Completed,Unknown,7.9
B00014,C0037,D0099,2026-03-03 20:14:00,Connaught Place,Pitampura,Delhi,Auto,UPI,14.17,28.1,187.53,1.08,Low,Cloudy,Completed,Unknown,9.1
B00015,C0030,D0102,2026-02-07 23:41:00,Kothrud,Hinjewadi,Pune,Auto,Card,6.17,22.9,115.53,1.34,High,Clear,Cancelled,Customer,4.1
B00016,C0295,D0005,2026-01-03 08:42:00,Chembur,Powai,Mumbai,Cab,UPI,1.9,4.3,116.6,1.7,Medium,Rain,Completed,Unknown,11.2
B00017,C0309,D0128,2026-03-05 08:26:00,Lajpat Nagar,Pitampura,Delhi,Bike,Card,12.28,20.4,113.68,1.5,Low,Clear,Completed,Unknown,3.3
B00018,C0390,D0064,2026-03-24 01:38:00,Baner,Hinjewadi,Pune,Cab,UPI,4.03,7.1,146.42,1.03,Low,Cloudy,Incomplete,Unknown,1.6
B00019,C0341,D0044,2026-02-27 23:22:00,Borivali,Dadar,Mumbai,Auto,UPI,6.07,17.4,114.63,1.45,High,Clear,Completed,Unknown,4.3
B00020,C0236,D0128,2026-02-19 13:26:00,Gachibowli,Banjara Hills,Hyderabad,Auto,UPI,2.39,9.4,81.51,1.32,High,Cloudy,Completed,Unknown,4.2
B00021,C0002,D0071,2026-02-18 06:42:00,Rohini,Dwarka,Delhi,Bike,Wallet,3.44,7.9,60.64,1.03,Medium,Clear,Cancelled,Customer,0.0
B00022,C0350,D0015,2026-01-28 20:27:00,Gachibowli,Madhapur,Hyderabad,Cab,Card,9.79,18.9,227.06,1.13,Low,Clear,Completed,Unknown,3.0
B00023,C0115,D0004,2026-01-15 01:26:00,Viman Nagar,Kharadi,Pune,Auto,UPI,6.51,11.8,118.59,1.22,Low,Rain,Incomplete,Unknown,11.7
B00024,C0130,D0041,2026-01-12 16:04:00,Malad,Andheri,Mumbai,Cab,Card,5.46,12.0,166.44,1.15,Low,Cloudy,Incomplete,Unknown,3.1
B00025,C0390,D0067,2026-02-08 17:47:00,Pitampura,Dwarka,Delhi,Auto,UPI,3.14,8.2,88.26,1.52,Medium,Clear,Completed,Unknown,0.0
B00026,C0076,D0051,2026-02-08 10:10:00,Kharadi,Hinjewadi,Pune,Bike,UPI,5.88,13.6,75.28,1.09,Low,Cloudy,Completed,Unknown,5.2
B00027,C0119,D0136,2026-03-09 06:57:00,Powai,Bandra,Mumbai,Bike,Wallet,10.38,28.1,102.28,1.06,Medium,Clear,Completed,Unknown,0.0
B00028,C0013,D0067,2026-03-03 04:02:00,Madhapur,Secunderabad,Hyderabad,Bike,UPI,1.4,2.6,48.4,1.01,Low,Cloudy,Completed,Unknown,0.0
B00029,C0192,D0074,2026-01-03 08:11:00,Hinjewadi,Kothrud,Pune,Cab,UPI,8.48,18.2,208.72,1.54,Medium,Smog,Completed,Unknown,4.1
B00030,C0003,D0010,2026-03-01 02:34:00,Borivali,Dadar,Mumbai,Bike,UPI,12.63,26.3,115.78,1.07,Medium,Clear,Completed,Unknown,0.0
B00031,C0264,D0073,2026-02-28 23:55:00,Ameerpet,Kukatpally,Hyderabad,Auto,UPI,6.94,26.0,122.46,1.32,High,Clear,Cancelled,Customer,5.3
B00032,C0282,D0060,2026-02-13 16:50:00,Kothrud,Kharadi,Pune,Cab,Cash,2.86,5.6,130.04,1.12,Low,Clear,Completed,Unknown,4.9
B00033,C0276,D0040,2026-03-19 12:23:00,Dwarka,Saket,Delhi,Auto,UPI,1.36,2.8,72.24,1.08,Low,Clear,Completed,Unknown,1.7
B00034,C0124,D0125,2026-01-17 23:24:00,Kothrud,Viman Nagar,Pune,Cab,UPI,5.71,15.9,169.94,1.11,Medium,Clear,Cancelled,Customer,0.0
B00035,C0079,D0112,2026-02-28 06:41:00,Dwarka,Pitampura,Delhi,Auto,UPI,5.75,9.8,111.75,1.12,Low,Cloudy,Completed,Unknown,7.3
