driver_id,driver_name,driver_rating,total_completed_rides,total_cancelled_rides,acceptance_rate,avg_delay_min,vehicle_type
D0001,Driver_1,4.03,400,5,0.88,3.5,Auto
D0002,Driver_2,4.27,379,34,0.92,7.3,Auto
D0003,Driver_3,5.0,645,42,1.0,1.8,Auto
D0004,Driver_4,4.3,732,44,0.8,10.2,Bike
D0005,Driver_5,3.79,434,62,0.96,8.2,Cab
D0006,Driver_6,4.16,533,26,0.74,6.7,Bike
D0007,Driver_7,4.47,195,3,0.87,1.5,Bike
D0008,Driver_8,4.35,745,22,0.85,6.1,Cab
D0009,Driver_9,4.88,152,20,0.74,0.0,Bike
D0010,Driver_10,4.58,226,2,0.89,2.7,Bike
D0011,Driver_11,4.56,62,8,0.92,2.2,Bike
D0012,Driver_12,4.39,574,55,0.99,3.5,Bike
D0013,Driver_13,4.21,313,32,0.89,6.4,Bike
D0014,Driver_14,4.57,614,61,0.92,1.4,Bike
D0015,Driver_15,4.07,645,31,1.0,5.0,Auto
D0016,Driver_16,4.39,217,4,0.86,0.0,Cab
D0017,Driver_17,4.3,441,6,0.87,6.3,Cab
D0018,Driver_18,4.45,458,3,0.88,2.8,Bike
D0019,Driver_19,4.33,383,56,0.83,5.6,Cab
D0020,Driver_20,4.5,72,7,1.0,0.0,Auto
D0021,Driver_21,4.19,254,13,0.98,0.7,Bike
D0022,Driver_22,4.01,684,5,0.86,5.0,Cab
D0023,Driver_23,4.1,756,16,0.98,5.8,Bike
D0024,Driver_24,4.83,71,1,1.0,0.0,Auto
D0025,Driver_25,4.37,155,16,0.95,0.0,Cab
D0026,Driver_26,4.58,595,32,0.89,2.8,Bike
D0027,Driver_27,4.66,655,48,0.83,3.7,Cab
D0028,Driver_28,4.14,133,16,0.92,4.7,Bike
D0029,Driver_29,4.38,211,17,0.8,4.2,Auto
D0030,Driver_30,4.32,471,6,0.92,4.2,Cab
D0031,Driver_31,4.16,653,88,0.93,4.4,Bike
D0032,Driver_32,4.82,202,1,0.86,0.0,Cab
D0033,Driver_33,5.0,777,91,1.0,1.4,Bike
D0034,Driver_34,4.55,657,27,0.87,3.9,Cab
D0035,Driver_35,4.14,245,25,0.92,3.3,Bike
D0036,Driver_36,5.0,250,23,0.85,0.6,Auto
D0037,Driver_37,4.53,305,4,0.84,2.8,Bike
D0038,Driver_38,4.12,209,11,0.85,3.9,Cab
D0039,Driver_39,4.42,633,28,0.8,6.4,Cab
D0040,Driver_40,4.72,497,65,0.96,0.0,Bike
D0041,Driver_41,4.13,759,55,0.93,0.0,Bike
D0042,Driver_42,4.25,233,19,0.96,0.0,Bike
D0043,Driver_43,4.29,31,1,0.79,0.0,Cab
D0044,Driver_44,3.94,288,40,0.89,5.8,Auto
D0045,Driver_45,4.75,558,58,0.87,1.1,Auto
D0046,Driver_46,4.57,130,6,0.93,1.4,Bike
D0047,Driver_47,4.37,99,1,0.86,3.0,Auto
D0048,Driver_48,4.03,49,0,0.98,3.5,Auto
D0049,Driver_49,4.27,445,32,0.98,6.4,Auto
D0050,Driver_50,4.24,692,49,0.92,0.7,Bike
D0051,Driver_51,3.93,699,103,0.8,5.1,Bike
D0052,Driver_52,4.15,387,34,0.81,5.7,Auto
D0053,Driver_53,4.01,633,57,0.96,5.0,Bike
D0054,Driver_54,4.49,95,1,0.92,3.3,Cab
D0055,Driver_55,4.31,130,15,0.79,5.9,Cab
D0056,Driver_56,4.16,712,53,0.79,6.2,Bike
D0057,Driver_57,4.42,82,2,1.0,0.0,Cab
D0058,Driver_58,4.09,649,28,0.93,7.3,Bike
D0059,Driver_59,4.23,169,2,0.9,1.7,Auto
D0060,Driver_60,3.96,708,82,0.89,1.6,Bike
D0061,Driver_61,4.35,38,1,0.73,1.3,Auto
D0062,Driver_62,4.04,460,46,0.86,6.8,Auto
D0063,Driver_63,4.21,693,61,0.99,0.9,Auto
D0064,Driver_64,4.17,330,6,0.86,4.5,Cab
D0065,Driver_65,4.49,29,0,0.9,1.3,Cab
D0066,Driver_66,5.0,430,29,0.98,5.1,Cab
D0067,Driver_67,4.39,538,44,0.96,0.0,Cab
D0068,Driver_68,4.65,427,28,0.89,3.1,Cab
D0069,Driver_69,4.44,526,2,0.85,6.3,Bike
D0070,Driver_70,4.53,79,7,0.91,4.9,Auto
D0071,Driver_71,4.41,408,55,0.91,0.5,Bike
D0072,Driver_72,4.42,702,53,0.75,2.3,Auto
D0073,Driver_73,4.09,439,3,0.94,0.0,Cab
D0074,Driver_74,3.96,578,4,1.0,4.3,Auto
D0075,Driver_75,4.11,105,6,0.91,4.1,Cab
D0076,Driver_76,4.41,559,76,0.97,0.0,Cab
D0077,Driver_77,4.23,369,13,1.0,0.4,Bike
D0078,Driver_78,4.09,363,0,0.72,4.3,Bike
D0079,Driver_79,4.51,707,38,0.9,1.7,Cab
D0080,Driver_80,4.35,225,10,0.78,0.0,Bike
D0081,Driver_81,4.2,43,0,0.95,1.5,Cab
D0082,Driver_82,4.01,44,0,0.93,8.1,Bike
D0083,Driver_83,4.07,321,13,0.9,1.1,Bike
D0084,Driver_84,4.2,396,18,0.76,1.0,Auto
D0085,Driver_85,3.95,385,23,0.83,2.3,Cab
D0086,Driver_86,4.76,154,21,0.97,0.1,Cab
D0087,Driver_87,4.33,724,60,0.96,7.3,Auto
D0088,Driver_88,3.99,249,21,0.9,0.0,Bike
D0089,Driver_89,4.4,465,56,0.81,3.3,Cab
D0090,Driver_90,4.39,722,44,1.0,2.0,Cab
D0091,Driver_91,4.47,43,3,1.0,3.1,Bike
D0092,Driver_92,4.85,424,60,0.96,0.0,Cab
D0093,Driver_93,4.15,715,80,0.8,4.8,Cab
D0094,Driver_94,4.19,431,33,1.0,7.9,Auto
