booking_id,customer_id,driver_id,booking_time,pickup_location,drop_location,city,vehicle_type,payment_method,distance_km,trip_duration_min,base_fare,surge_multiplier,traffic_level,weather_condition,ride_status,cancelled_by,driver_delay_min,hour,day_of_week,customer_rating,total_completed_rides,total_cancelled_rides,avg_monthly_spend,preferred_vehicle,driver_rating,total_completed_rides_driver,total_cancelled_rides_driver,acceptance_rate,avg_delay_min,vehicle_type_driver,demand_index,avg_eta_min,zone_type,is_peak_hour,time_bucket,is_weekend,estimated_fare,fare_per_km,fare_per_min,long_distance_flag,rush_hour_flag,city_pair,customer_cancellation_rate,driver_cancellation_rate,driver_reliability_score,customer_loyalty_score,ride_outcome_target,customer_cancel_flag,driver_delay_flag
B00001,C0090,D0112,2026-03-03 01:15:00,Viman Nagar,Hinjewadi,Pune,Bike,Card,2.97,6.6,57.82,1.09,Medium,Clear,Completed,Unknown,8.0,1,Tuesday,4.16,274,42,2521,Bike,4.16,423,38,0.89,7.3,Auto,68,10,Commercial,0,Night,0,63.02380000000001,21.22013468013468,9.549060606060609,0,0,Viman Nagar -> Hinjewadi,0.13291139240506328,0.0824295010845987,71.28963855421686,160.22177215189873,Completed,0,0
B00002,C0118,D0072,2026-03-16 13:10:00,Janakpuri,Rohini,Delhi,Bike,Cash,6.41,13.8,78.46,1.34,Low,Rain,Completed,Unknown,6.8,13,Monday,3.92,286,25,3105,Auto,4.42,702,53,0.75,2.3,Auto,48,7,Tourist,0,Late Morning,0,105.1364,16.401934477379093,7.618579710144926,1,0,Janakpuri -> Rohini,0.08038585209003216,0.07019867549668875,71.42060606060608,164.15228295819938,Completed,0,0
B00003,C0195,D0023,2026-03-31 17:35:00,Baner,Wakad,Pune,Auto,Card,3.31,6.0,89.79,1.42,Low,Clear,Completed,Unknown,7.0,17,Tuesday,4.53,220,64,2268,Auto,4.1,756,16,0.98,5.8,Bike,52,5,Tourist,1,Evening,0,127.5018,38.520181268882176,21.2503,0,1,Baner -> Wakad,0.22535211267605634,0.02072538860103627,74.94117647058823,139.7329577464789,Completed,0,0
B00004,C0114,D0022,2026-03-22 05:01:00,Rohini,Karol Bagh,Delhi,Auto,UPI,2.19,5.0,79.71,1.14,Low,Clear,Completed,Unknown,2.9,5,Sunday,4.06,219,75,2878,Cab,4.01,684,5,0.86,5.0,Cab,66,4,Commercial,0,Morning,1,90.86939999999998,41.49287671232876,18.173879999999997,0,0,Rohini -> Karol Bagh,0.25510204081632654,0.00725689404934688,69.81333333333332,134.97795918367348,Completed,0,0
B00005,C0290,D0003,2026-01-23 15:02:00,Rohini,Saket,Delhi,Auto,Cash,2.38,6.9,81.42,1.12,Medium,Clear,Incomplete,Unknown,5.1,15,Friday,4.5,79,18,1422,Cab,5.0,645,42,1.0,1.8,Auto,49,6,Transit,0,Afternoon,0,91.19040000000001,38.31529411764706,13.216000000000001,0,0,Rohini -> Saket,0.18556701030927836,0.0611353711790393,87.14285714285714,83.88865979381443,Incomplete,0,0
B00006,C0302,D0079,2026-02-03 08:52:00,Marathahalli,HSR Layout,Bengaluru,Bike,UPI,2.13,3.7,52.78,1.44,Low,Cloudy,Cancelled,Customer,1.5,8,Tuesday,4.57,183,7,1709,Auto,4.51,707,38,0.9,1.7,Cab,48,4,Residential,1,Morning,0,76.00319999999999,35.68225352112676,20.541405405405403,0,1,Marathahalli -> HSR Layout,0.03684210526315789,0.05100671140939597,79.4874074074074,129.02315789473684,Cancelled,1,0
B00007,C0359,D0126,2026-01-22 05:21:00,Gachibowli,Kukatpally,Hyderabad,Auto,Cash,3.99,6.5,95.91,1.05,Low,Clear,Incomplete,Unknown,13.1,5,Thursday,4.04,212,48,2405,Cab,4.44,792,50,0.76,7.6,Bike,50,11,Residential,0,Morning,0,100.7055,25.239473684210527,15.493153846153847,0,0,Gachibowli -> Kukatpally,0.18461538461538463,0.05938242280285035,68.24558139534884,133.42769230769233,Incomplete,0,1
B00008,C0174,D0056,2026-01-22 07:17:00,Colaba,Chembur,Mumbai,Bike,UPI,1.41,4.3,48.46,1.62,Medium,Rain,Completed,Unknown,4.5,7,Thursday,4.42,204,30,2282,Bike,4.16,712,53,0.79,6.2,Bike,91,4,Commercial,1,Morning,0,78.5052,55.677446808510645,18.257023255813955,0,1,Colaba -> Chembur,0.1282051282051282,0.06928104575163399,67.65777777777777,134.39589743589744,Completed,0,0
B00009,C0161,D0062,2026-02-24 15:53:00,Pitampura,Janakpuri,Delhi,Auto,UPI,4.03,6.6,96.27,1.12,Low,Cloudy,Completed,Unknown,12.7,15,Tuesday,4.11,232,30,2681,Bike,4.04,460,46,0.86,6.8,Auto,57,4,Transit,0,Afternoon,0,107.8224,26.754937965260545,16.336727272727273,0,0,Pitampura -> Janakpuri,0.11450381679389313,0.09090909090909091,69.28410256410257,143.38992366412214,Completed,0,1
B00010,C0189,D0097,2026-01-15 08:39:00,Secunderabad,Gachibowli,Hyderabad,Cab,Wallet,3.5,12.6,139.0,1.71,High,Clear,Completed,Unknown,8.6,8,Thursday,4.12,116,16,1380,Bike,4.56,252,29,1.0,0.0,Bike,40,10,Commercial,1,Morning,0,237.69,67.91142857142857,18.864285714285714,0,1,Secunderabad -> Gachibowli,0.12121212121212122,0.10320284697508897,96.47999999999999,96.93575757575759,Completed,0,0
B00011,C0199,D0128,2026-03-20 18:42:00,Powai,Malad,Mumbai,Cab,UPI,4.05,12.6,146.7,1.78,High,Clear,Completed,Unknown,8.0,18,Friday,4.67,113,18,1638,Auto,4.58,506,6,0.96,2.1,Bike,62,11,Residential,1,Evening,0,261.126,64.47555555555556,20.724285714285713,0,1,Powai -> Malad,0.13740458015267176,0.01171875,81.49161290322581,99.81190839694656,Completed,0,0
B00012,C0152,D0062,2026-02-14 05:51:00,HSR Layout,MG Road,Bengaluru,Cab,Cash,1.3,2.6,108.2,1.02,Low,Cloudy,Cancelled,Driver,10.6,5,Saturday,4.07,148,31,1702,Cab,4.04,460,46,0.86,6.8,Auto,78,4,Tourist,0,Morning,1,110.364,84.89538461538461,42.44769230769231,0,0,HSR Layout -> MG Road,0.17318435754189945,0.09090909090909091,69.28410256410257,108.29631284916202,Cancelled,0,1
B00013,C0158,D0120,2026-03-29 02:35:00,Banjara Hills,Ameerpet,Hyderabad,Bike,Cash,9.11,16.4,94.66,1.01,Low,Cloudy,Completed,Unknown,7.9,2,Sunday,4.16,292,11,2591,Auto,4.52,730,33,0.97,4.4,Bike,47,7,Tourist,0,Night,1,95.6066,10.494687156970363,5.829670731707318,1,0,Banjara Hills -> Ameerpet,0.036303630363036306,0.04325032765399738,78.66370370370372,169.35392739273928,Completed,0,0
B00014,C0037,D0099,2026-03-03 20:14:00,Connaught Place,Pitampura,Delhi,Auto,UPI,14.17,28.1,187.53,1.08,Low,Cloudy,Completed,Unknown,9.1,20,Tuesday,4.14,248,39,3211,Auto,4.5,529,37,0.94,8.6,Cab,45,7,Commercial,0,Evening,0,202.53240000000002,14.293041637261823,7.20755871886121,1,0,Connaught Place -> Pitampura,0.13588850174216027,0.06537102473498234,75.68333333333332,149.6022299651568,Completed,0,0
B00015,C0030,D0102,2026-02-07 23:41:00,Kothrud,Hinjewadi,Pune,Auto,Card,6.17,22.9,115.53,1.34,High,Clear,Cancelled,Customer,4.1,23,Saturday,4.07,61,11,1160,Auto,4.68,427,45,0.9,1.1,Cab,42,11,Residential,0,Night,1,154.8102,25.090794165316048,6.760270742358079,1,0,Kothrud -> Hinjewadi,0.1527777777777778,0.09533898305084745,82.96380952380952,73.90444444444445,Cancelled,1,0
B00016,C0295,D0005,2026-01-03 08:42:00,Chembur,Powai,Mumbai,Cab,UPI,1.9,4.3,116.6,1.7,Medium,Rain,Completed,Unknown,11.2,8,Saturday,4.22,93,11,1525,Cab,3.79,434,62,0.96,8.2,Cab,91,8,Transit,1,Morning,1,198.22,104.32631578947368,46.097674418604655,0,1,Chembur -> Powai,0.10576923076923077,0.125,70.89391304347826,88.8446153846154,Completed,0,1
B00017,C0309,D0128,2026-03-05 08:26:00,Lajpat Nagar,Pitampura,Delhi,Bike,Card,12.28,20.4,113.68,1.5,Low,Clear,Completed,Unknown,3.3,8,Thursday,4.21,221,22,2755,Bike,4.58,506,6,0.96,2.1,Bike,50,6,Residential,1,Morning,0,170.52,13.885993485342022,8.358823529411765,1,1,Lajpat Nagar -> Pitampura,0.09053497942386832,0.01171875,81.49161290322581,140.26930041152264,Completed,0,0
