customer_id,customer_name,customer_rating,total_completed_rides,total_cancelled_rides,avg_monthly_spend,preferred_vehicle
C0001,Customer_1,3.87,28,1,862,Cab
C0002,Customer_2,4.23,232,22,2794,Auto
C0003,Customer_3,4.13,136,17,1483,Cab
C0004,Customer_4,4.3,69,8,1275,Auto
C0005,Customer_5,4.54,276,30,2773,Auto
C0006,Customer_6,3.9,223,11,2546,Cab
C0007,Customer_7,4.41,131,14,1668,Cab
C0008,Customer_8,3.94,241,50,2445,Bike
C0009,Customer_9,4.27,133,35,1877,Bike
C0010,Customer_10,3.85,201,15,1868,Bike
C0011,Customer_11,4.36,256,39,2555,Cab
C0012,Customer_12,4.37,85,7,1139,Auto
C0013,Customer_13,4.13,281,49,2341,Bike
C0014,Customer_14,4.16,47,1,1365,Cab
C0015,Customer_15,4.49,79,6,713,Bike
C0016,Customer_16,3.96,215,48,2389,Auto
C0017,Customer_17,4.62,43,4,1194,Bike
C0018,Customer_18,3.91,176,67,1594,Auto
C0019,Customer_19,4.87,89,2,2186,Cab
C0020,Customer_20,4.13,8,0,480,Bike
C0021,Customer_21,4.0,110,20,1463,Cab
C0022,Customer_22,3.88,248,38,2366,Auto
C0023,Customer_23,4.11,94,16,1339,Cab
C0024,Customer_24,4.16,249,60,3065,Cab
C0025,Customer_25,4.51,68,10,1272,Cab
C0026,Customer_26,4.64,268,56,2690,Bike
C0027,Customer_27,4.26,111,4,1438,Bike
C0028,Customer_28,4.08,180,47,1787,Auto
C0029,Customer_29,4.03,126,17,1509,Auto
C0030,Customer_30,4.07,61,11,1160,Auto
C0031,Customer_31,3.98,252,18,2529,Auto
C0032,Customer_32,4.05,33,2,219,Auto
C0033,Customer_33,3.72,230,14,1999,Bike
C0034,Customer_34,3.93,182,4,1945,Bike
C0035,Customer_35,4.15,59,2,1031,Bike
C0036,Customer_36,4.35,247,23,2879,Auto
C0037,Customer_37,4.14,248,39,3211,Auto
C0038,Customer_38,4.2,96,21,1512,Bike
C0039,Customer_39,4.15,251,49,2520,Bike
C0040,Customer_40,4.16,253,17,2676,Bike
C0041,Customer_41,4.55,20,0,661,Auto
C0042,Customer_42,4.79,43,1,1297,Auto
C0043,Customer_43,3.94,288,53,3200,Bike
C0044,Customer_44,4.35,254,53,3178,Bike
C0045,Customer_45,4.37,157,21,1646,Cab
C0046,Customer_46,3.97,280,42,3186,Auto
C0047,Customer_47,3.56,143,20,1566,Bike
C0048,Customer_48,4.11,140,3,1964,Bike
C0049,Customer_49,4.1,221,41,2483,Cab
C0050,Customer_50,4.02,269,9,2812,Auto
C0051,Customer_51,4.81,43,10,882,Bike
C0052,Customer_52,3.57,114,38,1136,Auto
C0053,Customer_53,3.47,95,15,1376,Bike
C0054,Customer_54,4.23,133,22,1823,Bike
C0055,Customer_55,4.08,137,22,1660,Bike
C0056,Customer_56,4.08,44,1,1176,Cab
C0057,Customer_57,4.06,37,10,1302,Auto
C0058,Customer_58,4.11,232,21,2697,Cab
C0059,Customer_59,3.63,225,32,2678,Bike
C0060,Customer_60,4.16,184,17,2170,Bike
C0061,Customer_61,4.57,75,5,1315,Auto
C0062,Customer_62,4.26,283,27,3186,Auto
C0063,Customer_63,3.55,236,36,2152,Bike
C0064,Customer_64,4.34,184,13,1949,Auto
C0065,Customer_65,4.18,176,25,2787,Auto
C0066,Customer_66,4.04,196,53,1934,Bike
C0067,Customer_67,4.29,156,28,1755,Bike
C0068,Customer_68,4.68,251,8,2876,Auto
C0069,Customer_69,3.45,201,123,2118,Auto
C0070,Customer_70,4.0,37,4,1165,Cab
C0071,Customer_71,4.11,287,17,3332,Cab
C0072,Customer_72,4.02,167,27,2071,Bike
C0073,Customer_73,3.66,59,10,824,Auto
C0074,Customer_74,3.9,89,10,1524,Bike
C0075,Customer_75,4.11,279,31,2605,Cab
C0076,Customer_76,4.24,253,11,2724,Auto
C0077,Customer_77,4.27,118,28,1600,Auto
C0078,Customer_78,3.73,54,8,1432,Auto
C0079,Customer_79,3.8,295,66,3174,Cab
C0080,Customer_80,3.9,228,9,2498,Cab
C0081,Customer_81,4.03,291,36,3171,Auto
C0082,Customer_82,4.09,225,5,2209,Cab
C0083,Customer_83,4.24,134,20,1244,Cab
C0084,Customer_84,4.07,247,12,3011,Cab
C0085,Customer_85,4.06,134,18,2080,Bike
C0086,Customer_86,3.72,3,0,530,Bike
C0087,Customer_87,4.47,165,6,2535,Bike
C0088,Customer_88,3.85,266,21,2208,Auto
C0089,Customer_89,4.27,149,38,1887,Auto
C0090,Customer_90,4.16,274,42,2521,Bike
C0091,Customer_91,3.51,105,2,1675,Auto
C0092,Customer_92,4.96,269,14,2878,Cab
C0093,Customer_93,4.03,176,28,1864,Auto
C0094,Customer_94,3.96,235,86,2765,Cab
C0095,Customer_95,4.16,222,18,2709,Bike
C0096,Customer_96,3.99,32,1,1023,Auto
C0097,Customer_97,4.1,70,11,795,Bike
C0098,Customer_98,4.43,126,33,923,Auto
C0099,Customer_99,3.76,259,68,2806,Bike
C0100,Customer_100,4.39,205,35,2482,Bike
C0101,Customer_101,4.08,212,69,2575,Auto
C0102,Customer_102,4.02,186,42,1783,Auto
C0103,Customer_103,4.26,273,58,3158,Auto
C0104,Customer_104,4.17,295,56,2793,Cab
C0105,Customer_105,4.05,253,87,2684,Auto
C0106,Customer_106,4.08,213,51,2843,Auto
C0107,Customer_107,4.12,117,18,1312,Auto
C0108,Customer_108,4.37,39,12,1229,Cab
C0109,Customer_109,4.64,252,13,2945,Cab
C0110,Customer_110,4.09,77,3,1291,Auto
C0111,Customer_111,3.83,281,40,2703,Bike
C0112,Customer_112,4.24,30,2,804,Cab
C0113,Customer_113,3.89,196,44,1899,Bike
C0114,Customer_114,4.06,219,75,2878,Cab
C0115,Customer_115,4.48,189,24,2003,Auto
C0116,Customer_116,4.23,119,25,1679,Bike
C0117,Customer_117,4.04,9,0,921,Bike
C0118,Customer_118,3.92,286,25,3105,Auto
C0119,Customer_119,4.28,202,3,2283,Cab
C0120,Customer_120,4.62,149,9,1662,Bike
C0121,Customer_121,4.14,245,16,2874,Auto
C0122,Customer_122,4.25,254,23,2587,Bike
C0123,Customer_123,3.59,181,115,1822,Auto
C0124,Customer_124,4.61,282,40,3014,Bike
C0125,Customer_125,4.17,101,9,1972,Auto
C0126,Customer_126,4.3,74,12,1541,Cab
C0127,Customer_127,4.4,45,9,1023,Bike
C0128,Customer_128,4.26,50,8,120,Cab
C0129,Customer_129,4.07,245,5,2971,Cab
