services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method
cab economy,2024-07-15,08:30:40.542646,completed,Balagere Harbor,Harohalli Nagar,39,RD3161218751875354,27.21,764.83,31.51,796.34,Amazon Pay
auto,2024-07-05,23:36:51.542646,completed,Basavanagudi 3rd Block,Bikasipura 1st Stage,89,RD8171514284594096,34.03,314.83,49.52,364.34999999999997,Paytm
auto,2024-07-23,11:05:37.542646,cancelled,Babusapalya Cove,Kothaguda Terrace,25,RD9376481122237926,20.24,,,,nan
cab economy,2024-06-24,08:45:10.542646,completed,Mahadevapura Mews,Kanakapura Arc,89,RD3676889143182765,31.17,484.73,15.84,500.57,QR scan
cab economy,2024-07-15,00:26:44.542646,completed,Ganganagar Cove,Basaveshwaranagar Colony,95,RD6639410275948084,27.21,663.5,14.13,677.63,Amazon Pay
auto,2024-07-02,01:28:29.542646,completed,HSR Layout Area,JP Nagar Viewpoint,18,RD5922205486441934,33.69,456.73,25.19,481.92,QR scan
cab economy,2024-07-23,20:55:28.542646,completed,Arekere Heights,Dooravani Nagar Pointe,85,RD9557099396888459,20.44,836.39,14.95,851.34,GPay
parcel,2024-07-18,13:38:33.542646,completed,Electronic City Village,Ganganagar Station,89,RD9473873953525644,35.31,724.76,31.34,756.1,QR scan
parcel,2024-08-08,07:59:53.542646,completed,Mysore Road Lane,Billekahalli 6th Block,72,RD1285566012167240,45.99,641.55,21.48,663.03,Amazon Pay
bike lite,2024-07-10,12:30:07.542646,completed,Kundalahalli Alley,RT Nagar 5th Block,94,RD7238628094142076,44.43,571.5,47.63,619.13,QR scan
auto,2024-08-03,16:57:14.542646,completed,Hosur Road Mews,Nagawara Layout,80,RD0988431403518514,5.25,356.07,33.18,389.25,QR scan
cab economy,2024-07-08,17:46:15.542646,completed,Bikasipura Close,Kadugodi Park,42,RD1746298517733148,18.53,920.85,44.03,964.88,Paytm
cab economy,2024-08-10,13:46:07.542646,completed,Mahadevapura Track,Whitefield Cut,68,RD7341504775683700,5.11,595.8,23.72,619.52,Paytm
parcel,2024-08-15,22:59:04.542646,cancelled,Bhadrappa Layout Vista,Subramanyapura Road,82,RD0256680118366791,29.83,,,,nan
bike,2024-07-22,13:07:16.542646,cancelled,Frazer Town Works,Hebbal Kempapura Viewpoint,44,RD7115059402806582,49.92,,,,nan
bike,2024-07-24,05:35:38.542646,completed,Nagawara Dam,Dommasandra Colony,42,RD2369646812729540,39.3,256.39,31.98,288.37,Paytm
bike,2024-07-26,18:53:03.542646,completed,Sonnenahalli Layout,Kothanur Loop,95,RD8047989809002405,21.39,62.83,23.51,86.34,Paytm
